iter	Passed	Remaining
399	55394	83092
400	55529	82947
401	55657	82794
402	55768	82615
403	55926	82505
404	56055	82352
405	56183	82199
406	56297	82025
407	56456	81917
408	56570	81744
409	56724	81628
410	56822	81431
411	57073	81454
412	57174	81262
413	57322	81138
414	57476	81021
415	57602	80865
416	57767	80764
417	57884	80594
418	58044	80485
419	58146	80297
420	58281	80154
421	58422	80019
422	58557	79875
423	58650	79675
424	58745	79479
425	58888	79348
426	58987	79156
427	59153	79055
428	59300	78929
429	59406	78748
430	59515	78571
431	59732	78537
432	59893	78428
433	60050	78315
434	60235	78236
435	60400	78132
436	60507	77953
437	60691	77873
438	60872	77789
439	61025	77669
440	61144	77505
441	61290	77376
442	61414	77218
443	61547	77073
444	61655	76895
445	61761	76717
446	61906	76586
447	62006	76400
448	62133	76248
449	62280	76121
450	62409	75971
451	62561	75848
452	62692	75701
453	62882	75625
454	62972	75428
455	63141	75327
456	63276	75184
457	63426	75059
458	63663	75036
459	63911	75026
460	64040	74875
461	64157	74712
462	64299	74576
463	64481	74487
464	64608	74334
465	64723	74167
466	64857	74023
467	65051	73947
468	65217	73838
469	65334	73675
470	65493	73558
471	65597	73379
472	65728	73232
473	65853	73077
474	66021	72971
475	66191	72865
476	66308	72702
477	66415	72529
478	66526	72359
479	66663	72218
480	66750	72023
481	66887	71883
482	67007	71724
483	67109	71546
484	67245	71405
485	67369	71251
486	67534	71140
487	67650	70977
488	67749	70797
489	67898	70669
490	67995	70487
491	68164	70380
492	68281	70220
493	68458	70121
494	68566	69951
495	68702	69810
496	68894	69726
497	69034	69588
498	69172	69449
499	69302	69302
500	69456	69179
501	69570	69015
502	69723	68892
503	69862	68753
504	69990	68604
505	70101	68439
506	70267	68327
507	70411	68193
508	70595	68099
509	70708	67935
510	70831	67781
511	70985	67657
512	71111	67506
513	71253	67371
514	71369	67212
515	71504	67070
516	71645	66933
517	71736	66750
518	71849	66588
519	71962	66427
520	72114	66300
521	72225	66137
522	72362	65997
523	72484	65844
524	72626	65709
525	72712	65524
526	72895	65425
527	73010	65266
528	73147	65127
529	73273	64978
530	73376	64808
531	73516	64672
532	73667	64545
533	73766	64372
534	73887	64220
535	74035	64090
536	74153	63935
537	74288	63794
538	74438	63666
539	74612	63558
540	74729	63402
541	74857	63255
542	74969	63095
543	75117	62965
544	75218	62797
545	75330	62637
546	75472	62502
547	75642	62391
548	75808	62276
549	75927	62122
550	76074	61991
551	76226	61865
552	76345	61711
553	76470	61562
554	76626	61438
555	76758	61296
556	76889	61152
557	76993	60987
558	77157	60870
559	77280	60720
560	77399	60567
561	77517	60414
562	77613	60243
563	77741	60098
564	77899	59976
565	78045	59844
566	78193	59713
567	78309	59559
568	78437	59413
569	78567	59270
570	78697	59126
571	78841	58993
572	78996	58868
573	79098	58703
574	79236	58565
575	79344	58406
576	79519	58295
577	79659	58159
578	79765	57998
579	79940	57888
580	80057	57735
581	80216	57612
582	80336	57461
583	80446	57304
584	80564	57152
585	80716	57024
586	80830	56870
587	80968	56732
588	81078	56575
589	81175	56410
590	81285	56253
591	81438	56126
592	81537	55962
593	81687	55833
594	81816	55690
595	81954	55553
596	82040	55380
597	82187	55250
598	82300	55095
599	82471	54980
600	82617	54849
601	82753	54710
602	82865	54556
603	82991	54411
604	83151	54288
605	83290	54152
606	83406	54001
607	83499	53835
608	83625	53690
609	83746	53542
610	83964	53456
611	84190	53375
612	84386	53274
613	84500	53122
614	84601	52961
615	84724	52815
616	84840	52664
617	84947	52507
618	85101	52380
619	85316	52290
620	85446	52148
621	85587	52013
622	85690	51854
623	85864	51738
624	85968	51581
625	86107	51444
626	86265	51319
627	86418	51190
628	86542	51045
629	86694	50915
630	86803	50761
631	86890	50594
632	86993	50436
633	87142	50306
634	87301	50181
635	87444	50046
636	87608	49924
637	87759	49794
638	87903	49660
639	88052	49529
640	88185	49389
641	88325	49253
642	88468	49118
643	88584	48969
644	88696	48817
645	88835	48680
646	88950	48531
647	89063	48379
648	89195	48239
649	89293	48081
650	89437	47947
651	89568	47806
652	89683	47657
653	89828	47523
654	89924	47364
655	90038	47215
656	90165	47072
657	90294	46931
658	90409	46782
659	90562	46653
660	90697	46514
661	90817	46369
662	90933	46221
663	91060	46078
664	91193	45939
665	91320	45797
666	91456	45659
667	91590	45521
668	91697	45369
669	91809	45219
670	91938	45078
671	92083	44945
672	92212	44804
673	92361	44673
674	92481	44528
675	92638	44400
676	92768	44260
677	92895	44118
678	93020	43976
679	93163	43841
680	93284	43697
681	93395	43548
682	93505	43398
683	93614	43248
684	93774	43122
685	93909	42984
686	94036	42843
687	94191	42714
688	94303	42566
689	94439	42429
690	94534	42273
691	94676	42139
692	94796	41994
693	94915	41850
694	95061	41717
695	95221	41590
696	95350	41450
697	95477	41309
698	95563	41151
699	95675	41003
700	95822	40871
701	95924	40720
702	96045	40576
703	96188	40442
704	96322	40305
705	96427	40155
706	96582	40026
707	96735	39896
708	96863	39756
709	96973	39608
710	97121	39476
711	97222	39326
712	97345	39184
713	97462	39039
714	97591	38900
715	97682	38745
716	97846	38620
717	97920	38459
718	98104	38341
719	98252	38209
720	98431	38089
721	98542	37942
722	98699	37814
723	98886	37697
724	98987	37546
725	99132	37413
726	99271	37278
727	99468	37164
728	99584	37019
729	99676	36866
730	99777	36716
731	99905	36577
732	100041	36440
733	100174	36303
734	100281	36155
735	100401	36013
736	100492	35860
737	100645	35730
738	100799	35600
739	100889	35447
740	100996	35300
741	101094	35151
742	101234	35016
743	101365	34878
744	101464	34729
745	101551	34576
746	101634	34422
747	101747	34278
748	101879	34141
749	101975	33991
750	102135	33863
751	102275	33729
752	102407	33591
753	102536	33453
754	102678	33319
755	102778	33171
756	102918	33037
757	103071	32906
758	103185	32763
759	103286	32616
760	103411	32477
761	103542	32340
762	103654	32196
763	103868	32085
764	104059	31965
765	104323	31868
766	104453	31731
767	104640	31610
768	104790	31477
769	104947	31347
770	105093	31214
771	105228	31077
772	105389	30948
773	105478	30798
774	105560	30646
775	105684	30506
776	105828	30372
777	105982	30241
778	106086	30096
779	106231	29962
780	106326	29815
781	106463	29679
782	106568	29534
783	106698	29396
784	106829	29259
785	106932	29113
786	107098	28986
787	107226	28847
788	107349	28708
789	107501	28576
790	107618	28435
791	107766	28302
792	107924	28171
793	108020	28025
794	108142	27885
795	108231	27737
796	108367	27601
797	108474	27458
798	108597	27319
799	108711	27177
800	108812	27033
801	108952	26898
802	109108	26767
803	109236	26629
804	109369	26493
805	109517	26360
806	109617	26215
807	109749	26079
808	109872	25940
809	110017	25806
810	110127	25664
811	110305	25538
812	110408	25395
813	110550	25260
814	110713	25131
815	110827	24990
816	110941	24849
817	111064	24711
818	111165	24567
819	111285	24428
820	111410	24290
821	111502	24145
822	111619	24005
823	111726	23863
824	111911	23738
825	112024	23598
826	112140	23458
827	112311	23330
828	112453	23196
829	112620	23066
830	112766	22933
831	112908	22798
832	113067	22667
833	113241	22539
834	113346	22397
835	113485	22262
836	113581	22119
837	113680	21976
838	113775	21832
839	113866	21688
840	113975	21548
841	114097	21410
842	114250	21277
843	114364	21138
844	114484	21000
845	114626	20865
846	114766	20731
847	114882	20592
848	115027	20458
849	115114	20314
850	115225	20174
851	115346	20036
852	115462	19898
853	115581	19759
854	115671	19616
855	115768	19475
856	115878	19335
857	116036	19204
858	116164	19067
859	116251	18924
860	116373	18787
861	116543	18657
862	116694	18525
863	116829	18389
864	116982	18257
865	117111	18121
866	117237	17984
867	117347	17845
868	117505	17713
869	117599	17572
870	117728	17436
871	117901	17306
872	118014	17168
873	118130	17030
874	118252	16893
875	118406	16760
876	118559	16628
877	118706	16494
878	118805	16354
879	118913	16215
